step,split,loss,ppl
1,train,10.8826,53240.16
20,train,6.6194,749.51
40,train,6.1239,456.65
60,train,5.6770,292.08
80,train,5.5010,244.93
100,train,5.1093,165.56
120,train,5.2414,188.93
140,train,4.8695,130.25
160,train,4.9938,147.50
180,train,4.4497,85.60
200,train,4.8504,127.79
220,train,4.5446,94.12
240,train,4.9581,142.32
260,train,4.6019,99.68
280,train,4.7038,110.37
300,train,4.6862,108.44
320,train,4.0807,59.19
340,train,4.2206,68.08
360,train,4.5586,95.45
380,train,4.0699,58.55
400,train,4.3311,76.03
420,train,4.2802,72.26
440,train,4.1762,65.12
460,train,4.1749,65.03
480,train,4.0136,55.35
500,train,4.2873,72.77
520,train,4.4858,88.75
540,train,4.2128,67.55
560,train,3.8964,49.23
580,train,4.0719,58.67
600,train,4.2400,69.40
620,train,4.0296,56.24
640,train,3.9802,53.53
660,train,4.4404,84.81
680,train,3.7952,44.49
700,train,3.8135,45.31
720,train,4.0196,55.68
740,train,4.1014,60.42
760,train,3.7737,43.54
780,train,4.2316,68.83
800,train,4.0141,55.38
820,train,3.9364,51.23
840,train,4.1901,66.03
860,train,3.8220,45.69
880,train,3.1736,23.89
900,train,4.1854,65.72
920,train,4.0748,58.84
940,train,4.0428,56.98
960,train,3.6230,37.45
980,train,3.5794,35.85
1000,train,3.9408,51.46
1020,train,3.9295,50.88
1040,train,3.6355,37.92
1060,train,3.9016,49.48
1080,train,3.7267,41.54
1100,train,3.3805,29.39
1120,train,3.7239,41.43
1140,train,3.8646,47.68
1160,train,3.5720,35.59
1180,train,3.9706,53.02
1200,train,3.6007,36.62
1220,train,3.9160,50.20
1240,train,3.5171,33.69
1260,train,3.6895,40.02
1280,train,3.7043,40.62
1300,train,3.6455,38.30
1320,train,3.2306,25.29
1340,train,3.7014,40.50
1360,train,3.7078,40.77
1380,train,3.6869,39.92
1400,train,3.6379,38.01
1420,train,3.1980,24.48
1440,train,3.6579,38.78
1460,train,3.3685,29.03
1480,train,3.5585,35.11
1500,train,3.8841,48.62
1520,train,3.6066,36.84
1540,train,3.6425,38.19
1560,train,3.5580,35.09
1580,train,3.7756,43.62
1600,train,3.3299,27.93
1620,train,3.3960,29.85
1640,train,3.4927,32.87
1660,train,3.6451,38.29
1680,train,3.6677,39.16
1700,train,3.8557,47.26
1720,train,3.6180,37.26
1740,train,3.6264,37.58
1760,train,3.6777,39.56
1780,train,3.6818,39.72
1800,train,3.1690,23.78
1820,train,3.3962,29.85
1840,train,3.7248,41.46
1860,train,3.5786,35.82
1880,train,3.6093,36.94
1900,train,3.2389,25.51
1920,train,3.5675,35.43
1940,train,3.5472,34.72
1960,train,3.3042,27.23
1980,train,3.5487,34.77
2000,train,3.4373,31.10
100,val,5.6089,272.85
200,val,5.1465,171.83
300,val,4.9267,137.92
400,val,4.8059,122.23
500,val,4.7168,111.81
600,val,4.6544,105.04
700,val,4.5768,97.21
800,val,4.5500,94.64
900,val,4.5246,92.26
1000,val,4.4848,88.66
1100,val,4.4713,87.47
1200,val,4.4742,87.72
1300,val,4.4154,82.72
1400,val,4.3903,80.66
1500,val,4.4018,81.60
1600,val,4.3488,77.39
1700,val,4.3346,76.29
1800,val,4.3460,77.17
1900,val,4.3705,79.08
2000,val,4.3295,75.91
